Nome,Arquivados,Retirados,Tramitando,Aguardando,Total,Partido,Ano
ALEXANDRE FROTA,0,0,0,0,0,PSL,2007
ARLINDO CHINAGLIA,0,0,0,0,0,PT,2007
JÚNIOR FERRARI,0,0,0,0,0,PSD,2007
MARCELO MORAES,0,0,0,0,0,PTB,2007
LUIZ FLÁVIO GOMES,0,0,0,0,0,PSB,2007
MAJOR VITOR HUGO,0,0,0,0,0,PSL,2007
EMIDINHO MADEIRA,0,0,0,0,0,PSB,2007
LOURIVAL GOMES,0,0,0,0,0,PSL,2007
DR. LEONARDO,0,0,0,0,0,SOLIDARIEDADE,2007
PAULO RAMOS,0,0,0,0,0,PDT,2007
ADOLFO VIANA,0,0,0,0,0,PSDB,2007
LUCIANO BIVAR,0,0,0,0,0,PSL,2007
BIBO NUNES,0,0,0,0,0,PSL,2007
HÉLIO COSTA,0,0,0,0,0,PRB,2007
EMANUEL PINHEIRO NETO,0,0,0,0,0,PTB,2007
PASTOR GILDENEMYR,0,0,0,0,0,PL,2007
GIOVANI FELTES,0,0,0,0,0,MDB,2007
LUCAS REDECKER,0,0,0,0,0,PSDB,2007
GENERAL GIRÃO,0,0,0,0,0,PSL,2007
LUCAS GONZALEZ,0,0,0,0,0,NOVO,2007
ALCIDES RODRIGUES,0,0,0,0,0,PATRIOTA,2007
RICARDO GUIDI,0,0,0,0,0,PSD,2007
ANDRÉ FERREIRA,0,0,0,0,0,PSC,2007
SARGENTO FAHUR,0,0,0,0,0,PSD,2007
PEDRO LUPION,0,0,0,0,0,DEM,2007
SERGIO TOLEDO,0,0,0,0,0,PL,2007
MARCO BERTAIOLLI,0,0,0,0,0,PSD,2007
JOSÉ MEDEIROS,1,0,1,0,2,PODE,2007
LÉO MOTTA,0,0,0,0,0,PSL,2007
GILBERTO ABRAMO,0,0,0,0,0,PRB,2007
ELI BORGES,0,0,0,0,0,SOLIDARIEDADE,2007
JUNIOR LOURENÇO,0,0,0,0,0,PL,2007
FRANCO CARTAFINA,0,0,0,0,0,PP,2007
HELIO LOPES,0,0,0,0,0,PSL,2007
MAURO NAZIF,1,0,0,1,2,PSB,2007
LUIZ CARLOS MOTTA,0,0,0,0,0,PL,2007
POLICIAL KATIA SASTRE,0,0,0,0,0,PL,2007
WELITON PRADO,0,0,0,0,0,PROS,2007
JOSE MARIO SCHREINER,0,0,0,0,0,DEM,2007
AMARO NETO,0,0,0,0,0,PRB,2007
MAURO BENEVIDES FILHO,0,0,0,0,0,PDT,2007
