Nome,Partido,UF,Tipo_de_Despesa,Valor
MARCOS AURÉLIO SAMPAIO,MDB,PI,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  75000
JÚLIO DELGADO,PSB,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  65163,58"
EVAIR VIEIRA DE MELO,PP,ES,EMISSÃO BILHETE AÉREO,"R$  38345,36"
JHC,PSB,AL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  75000
PAULO ABI-ACKEL,PSDB,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  59429,44"
JOSÉ NUNES,PSD,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  57990
PAULO FREIRE COSTA,PL,SP,EMISSÃO BILHETE AÉREO,"R$  96414,73"
JOSÉ ROCHA,PL,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  54536
LUCIANO DUCCI,PSB,PR,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  55060
PAULO GUEDES,PT,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  56300
CELSO MALDANER,MDB,SC,EMISSÃO BILHETE AÉREO,"R$  67296,01"
NILSON PINTO,PSDB,PA,EMISSÃO BILHETE AÉREO,"R$  48108,93"
RUBENS BUENO,CIDADANIA,PR,EMISSÃO BILHETE AÉREO,"R$  81362,77"
DAVID SOARES,DEM,SP,EMISSÃO BILHETE AÉREO,"R$  54220,76"
DENIS BEZERRA,PSB,CE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  46500
RENATA ABREU,PODE,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  76100
JOSÉ RICARDO,PT,AM,EMISSÃO BILHETE AÉREO,"R$  50484,78"
MARLON SANTOS,PDT,RS,EMISSÃO BILHETE AÉREO,"R$  83382,32"
VALDEVAN NOVENTA,PSC,SE,EMISSÃO BILHETE AÉREO,"R$  67410,61"
AFONSO HAMM,PP,RS,EMISSÃO BILHETE AÉREO,"R$  70992,3"
ZECA DIRCEU,PT,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  44990,04"
GUSTINHO RIBEIRO,SOLIDARIEDADE,SE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  134700
BENEDITA DA SILVA,PT,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  61440
ALICE PORTUGAL,PCdoB,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  59132,68"
PAULO PIMENTA,PT,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  64400
GIOVANI CHERINI,PL,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  38872
ALESSANDRO MOLON,PSB,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  67211,37"
AROLDO MARTINS,PRB,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  56453,71"
ALIEL MACHADO,PSB,PR,EMISSÃO BILHETE AÉREO,"R$  58103,26"
AFONSO FLORENCE,PT,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  71300
ALEXANDRE PADILHA,PT,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  103855
DRA. VANDA MILANI,SOLIDARIEDADE,AC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  80400
IDILVAN ALENCAR,PDT,CE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  47875
JÚNIOR MANO,PL,CE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  67200
ODAIR CUNHA,PT,MG,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  60565,99"
NATÁLIA BONAVIDES,PT,RN,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  56294,24"
CHICO D'ANGELO,PDT,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  70500
TITO,AVANTE,BA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  50000
CAPITÃO WAGNER,PROS,CE,EMISSÃO BILHETE AÉREO,"R$  61441,91"
ALINE SLEUTJES,PSL,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  86540
ÁTILA LIRA,PSB,PI,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  49000
FELIPE FRANCISCHINI,PSL,PR,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  60000
MARGARIDA SALOMÃO,PT,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  53580,67"
DANRLEI DE DEUS HINTERHOLZ,PSD,RS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  56500
PAULO AZI,DEM,BA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  62000
SEBASTIÃO OLIVEIRA,PL,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  42100
ANGELA AMIN,PP,SC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  60000
